Chromosome	Start	End	NExCap
chr2H	1.14e+08	1.15e+08	25
chr2H	1.15e+08	1.16e+08	29
chr2H	1.16e+08	1.17e+08	28
chr2H	1.17e+08	1.18e+08	19
chr2H	1.18e+08	1.19e+08	15
chr2H	1.19e+08	1.2e+08	36
chr2H	1.2e+08	1.21e+08	38
chr2H	1.21e+08	1.22e+08	30
chr2H	1.22e+08	1.23e+08	26
chr2H	1.23e+08	1.24e+08	23
chr2H	1.24e+08	1.25e+08	14
chr2H	1.25e+08	1.26e+08	14
chr2H	1.26e+08	1.27e+08	18
chr2H	1.27e+08	1.28e+08	24
chr2H	1.28e+08	1.29e+08	17
chr2H	1.29e+08	1.3e+08	27
chr2H	1.3e+08	1.31e+08	29
chr2H	1.31e+08	1.32e+08	29
chr2H	1.32e+08	1.33e+08	43
chr2H	1.33e+08	1.34e+08	17
chr2H	1.34e+08	1.35e+08	22
chr2H	1.35e+08	1.36e+08	22
chr2H	1.36e+08	1.37e+08	18
chr2H	1.37e+08	1.38e+08	19
chr2H	1.38e+08	1.39e+08	31
chr2H	1.39e+08	1.4e+08	25
chr2H	1.4e+08	1.41e+08	15
chr2H	1.41e+08	1.42e+08	24
chr2H	1.42e+08	1.43e+08	24
chr2H	1.43e+08	1.44e+08	43
chr2H	1.44e+08	1.45e+08	15
chr2H	1.45e+08	1.46e+08	16
chr2H	1.46e+08	1.47e+08	6
chr2H	1.47e+08	1.48e+08	18
chr2H	1.48e+08	1.49e+08	10
chr2H	1.49e+08	1.5e+08	15
chr2H	1.5e+08	1.51e+08	32
chr2H	1.51e+08	1.52e+08	4
chr2H	1.52e+08	1.53e+08	7
chr2H	1.53e+08	1.54e+08	7
chr2H	1.54e+08	1.55e+08	12
chr2H	1.55e+08	1.56e+08	23
chr2H	1.56e+08	1.57e+08	13
chr2H	1.57e+08	1.58e+08	7
chr2H	1.58e+08	1.59e+08	20
chr2H	1.59e+08	1.6e+08	28
chr2H	1.6e+08	1.61e+08	27
chr2H	1.61e+08	1.62e+08	16
chr2H	1.62e+08	1.63e+08	13
chr2H	1.63e+08	1.64e+08	8
chr2H	1.64e+08	1.65e+08	15
chr2H	1.65e+08	1.66e+08	20
chr2H	1.66e+08	1.67e+08	19
chr2H	1.67e+08	1.68e+08	30
chr2H	1.68e+08	1.69e+08	19
chr2H	1.69e+08	1.7e+08	16
chr2H	1.7e+08	1.71e+08	13
chr2H	1.71e+08	1.72e+08	11
chr2H	1.72e+08	1.73e+08	32
chr2H	1.73e+08	1.74e+08	28
chr2H	1.74e+08	1.75e+08	30
chr2H	1.75e+08	1.76e+08	13
chr2H	1.76e+08	1.77e+08	20
chr2H	1.77e+08	1.78e+08	10
chr2H	1.78e+08	1.79e+08	21
chr2H	1.79e+08	1.8e+08	23
chr2H	1.8e+08	1.81e+08	9
chr2H	1.81e+08	1.82e+08	15
chr2H	1.82e+08	1.83e+08	3
chr2H	1.83e+08	1.84e+08	26
chr2H	1.84e+08	1.85e+08	16
chr2H	1.85e+08	1.86e+08	13
chr2H	1.86e+08	1.87e+08	20
chr2H	1.87e+08	1.88e+08	25
chr2H	1.88e+08	1.89e+08	6
chr2H	1.89e+08	1.9e+08	18
chr2H	1.9e+08	1.91e+08	17
chr2H	1.91e+08	1.92e+08	12
chr2H	1.92e+08	1.93e+08	21
chr2H	1.93e+08	1.94e+08	27
chr2H	1.94e+08	1.95e+08	44
chr2H	1.95e+08	1.96e+08	25
chr2H	1.96e+08	1.97e+08	35
chr2H	1.97e+08	1.98e+08	39
chr2H	1.98e+08	1.99e+08	20
chr2H	1.99e+08	2e+08	10
chr2H	2e+08	2.01e+08	20
chr2H	2.01e+08	2.02e+08	22
chr2H	2.02e+08	2.03e+08	13
chr2H	2.03e+08	2.04e+08	18
chr2H	2.04e+08	2.05e+08	12
chr2H	2.05e+08	2.06e+08	16
chr2H	2.06e+08	2.07e+08	20
chr2H	2.07e+08	2.08e+08	11
chr2H	2.08e+08	2.09e+08	40
chr2H	2.09e+08	2.1e+08	24
chr2H	2.1e+08	2.11e+08	16
chr2H	2.11e+08	2.12e+08	12
chr2H	2.12e+08	2.13e+08	25
chr2H	2.13e+08	2.14e+08	12
chr2H	2.14e+08	2.15e+08	24
chr2H	2.15e+08	2.16e+08	5
chr2H	2.16e+08	2.17e+08	9
chr2H	2.17e+08	2.18e+08	24
chr2H	2.18e+08	2.19e+08	5
chr2H	2.19e+08	2.2e+08	18
chr2H	2.2e+08	2.21e+08	8
chr2H	2.21e+08	2.22e+08	17
chr2H	2.22e+08	2.23e+08	18
chr2H	2.23e+08	2.24e+08	9
chr2H	2.24e+08	2.25e+08	20
chr2H	2.25e+08	2.26e+08	14
chr2H	2.26e+08	2.27e+08	2
chr2H	2.27e+08	2.28e+08	14
chr2H	2.28e+08	2.29e+08	10
chr2H	2.29e+08	2.3e+08	5
chr2H	2.3e+08	2.31e+08	11
chr2H	2.31e+08	2.32e+08	33
chr2H	2.32e+08	2.33e+08	25
chr2H	2.33e+08	2.34e+08	9
chr2H	2.34e+08	2.35e+08	20
chr2H	2.35e+08	2.36e+08	29
chr2H	2.36e+08	2.37e+08	27
chr2H	2.37e+08	2.38e+08	24
chr2H	2.38e+08	2.39e+08	12
chr2H	2.39e+08	2.4e+08	21
chr2H	2.4e+08	2.41e+08	25
chr2H	2.41e+08	2.42e+08	22
chr2H	2.42e+08	2.43e+08	10
chr2H	2.43e+08	2.44e+08	15
chr2H	2.44e+08	2.45e+08	28
chr2H	2.45e+08	2.46e+08	23
chr2H	2.46e+08	2.47e+08	16
chr2H	2.47e+08	2.48e+08	21
chr2H	2.48e+08	2.49e+08	9
chr2H	2.49e+08	2.5e+08	20
chr2H	2.5e+08	2.51e+08	19
chr2H	2.51e+08	2.52e+08	6
chr2H	2.52e+08	2.53e+08	19
chr2H	2.53e+08	2.54e+08	16
chr2H	2.54e+08	2.55e+08	12
chr2H	2.55e+08	2.56e+08	5
chr2H	2.56e+08	2.57e+08	20
chr2H	2.57e+08	2.58e+08	28
chr2H	2.58e+08	2.59e+08	18
chr2H	2.59e+08	2.6e+08	8
chr2H	2.6e+08	2.61e+08	20
chr2H	2.61e+08	2.62e+08	27
chr2H	2.62e+08	2.63e+08	9
chr2H	2.63e+08	2.64e+08	19
chr2H	2.64e+08	2.65e+08	0
chr2H	2.65e+08	2.66e+08	13
chr2H	2.66e+08	2.67e+08	13
chr2H	2.67e+08	2.68e+08	31
chr2H	2.68e+08	2.69e+08	13
chr2H	2.69e+08	2.7e+08	11
chr2H	2.7e+08	2.71e+08	14
chr2H	2.71e+08	2.72e+08	21
chr2H	2.72e+08	2.73e+08	23
chr2H	2.73e+08	2.74e+08	27
chr2H	2.74e+08	2.75e+08	14
chr2H	2.75e+08	2.76e+08	17
chr2H	2.76e+08	2.77e+08	10
chr2H	2.77e+08	2.78e+08	12
chr2H	2.78e+08	2.79e+08	20
chr2H	2.79e+08	2.8e+08	5
chr2H	2.8e+08	2.81e+08	5
chr2H	2.81e+08	2.82e+08	3
chr2H	2.82e+08	2.83e+08	8
chr2H	2.83e+08	2.84e+08	40
chr2H	2.84e+08	2.85e+08	15
chr2H	2.85e+08	2.86e+08	32
chr2H	2.86e+08	2.87e+08	4
chr2H	2.87e+08	2.88e+08	11
chr2H	2.88e+08	2.89e+08	18
chr2H	2.89e+08	2.9e+08	10
chr2H	2.9e+08	2.91e+08	13
chr2H	2.91e+08	2.92e+08	24
chr2H	2.92e+08	2.93e+08	5
chr2H	2.93e+08	2.94e+08	1
chr2H	2.94e+08	2.95e+08	22
chr2H	2.95e+08	2.96e+08	30
chr2H	2.96e+08	2.97e+08	12
chr2H	2.97e+08	2.98e+08	9
chr2H	2.98e+08	2.99e+08	9
chr2H	2.99e+08	3e+08	13
chr2H	3e+08	3.01e+08	43
chr2H	3.01e+08	3.02e+08	12
chr2H	3.02e+08	3.03e+08	17
chr2H	3.03e+08	3.04e+08	7
chr2H	3.04e+08	3.05e+08	30
chr2H	3.05e+08	3.06e+08	1
chr2H	3.06e+08	3.07e+08	18
chr2H	3.07e+08	3.08e+08	8
chr2H	3.08e+08	3.09e+08	49
chr2H	3.09e+08	3.1e+08	25
chr2H	3.1e+08	3.11e+08	20
chr2H	3.11e+08	3.12e+08	10
chr2H	3.12e+08	3.13e+08	9
chr2H	3.13e+08	3.14e+08	19
chr2H	3.14e+08	3.15e+08	9
chr2H	3.15e+08	3.16e+08	10
chr2H	3.16e+08	3.17e+08	14
chr2H	3.17e+08	3.18e+08	9
chr2H	3.18e+08	3.19e+08	20
chr2H	3.19e+08	3.2e+08	7
chr2H	3.2e+08	3.21e+08	12
chr2H	3.21e+08	3.22e+08	20
chr2H	3.22e+08	3.23e+08	9
chr2H	3.23e+08	3.24e+08	3
chr2H	3.24e+08	3.25e+08	12
chr2H	3.25e+08	3.26e+08	22
chr2H	3.26e+08	3.27e+08	12
chr2H	3.27e+08	3.28e+08	18
chr2H	3.28e+08	3.29e+08	12
chr2H	3.29e+08	3.3e+08	2
chr2H	3.3e+08	3.31e+08	14
chr2H	3.31e+08	3.32e+08	25
chr2H	3.32e+08	3.33e+08	28
chr2H	3.33e+08	3.34e+08	1
chr2H	3.34e+08	3.35e+08	25
chr2H	3.35e+08	3.36e+08	11
chr2H	3.36e+08	3.37e+08	17
chr2H	3.37e+08	3.38e+08	14
chr2H	3.38e+08	3.39e+08	15
chr2H	3.39e+08	3.4e+08	2
chr2H	3.4e+08	3.41e+08	14
chr2H	3.41e+08	3.42e+08	10
chr2H	3.42e+08	3.43e+08	26
chr2H	3.43e+08	3.44e+08	46
chr2H	3.44e+08	3.45e+08	5
chr2H	3.45e+08	3.46e+08	9
chr2H	3.46e+08	3.47e+08	2
chr2H	3.47e+08	3.48e+08	26
chr2H	3.48e+08	3.49e+08	2
chr2H	3.49e+08	3.5e+08	19
chr2H	3.5e+08	3.51e+08	17
chr2H	3.51e+08	3.52e+08	23
chr2H	3.52e+08	3.53e+08	23
chr2H	3.53e+08	3.54e+08	25
chr2H	3.54e+08	3.55e+08	4
chr2H	3.55e+08	3.56e+08	13
chr2H	3.56e+08	3.57e+08	1
chr2H	3.57e+08	3.58e+08	22
chr2H	3.58e+08	3.59e+08	5
chr2H	3.59e+08	3.6e+08	9
chr2H	3.6e+08	3.61e+08	7
chr2H	3.61e+08	3.62e+08	34
chr2H	3.62e+08	3.63e+08	5
chr2H	3.63e+08	3.64e+08	37
chr2H	3.64e+08	3.65e+08	9
chr2H	3.65e+08	3.66e+08	15
chr2H	3.66e+08	3.67e+08	15
chr2H	3.67e+08	3.68e+08	19
chr2H	3.68e+08	3.69e+08	5
chr2H	3.69e+08	3.7e+08	6
chr2H	3.7e+08	3.71e+08	5
chr2H	3.71e+08	3.72e+08	12
chr2H	3.72e+08	3.73e+08	11
chr2H	3.73e+08	3.74e+08	22
chr2H	3.74e+08	3.75e+08	6
chr2H	3.75e+08	3.76e+08	17
chr2H	3.76e+08	3.77e+08	5
chr2H	3.77e+08	3.78e+08	10
chr2H	3.78e+08	3.79e+08	3
chr2H	3.79e+08	3.8e+08	9
chr2H	3.8e+08	3.81e+08	11
chr2H	3.81e+08	3.82e+08	24
chr2H	3.82e+08	3.83e+08	9
chr2H	3.83e+08	3.84e+08	13
chr2H	3.84e+08	3.85e+08	7
chr2H	3.85e+08	3.86e+08	27
chr2H	3.86e+08	3.87e+08	8
chr2H	3.87e+08	3.88e+08	12
chr2H	3.88e+08	3.89e+08	4
chr2H	3.89e+08	3.9e+08	9
chr2H	3.9e+08	3.91e+08	4
chr2H	3.91e+08	3.92e+08	34
chr2H	3.92e+08	3.93e+08	15
chr2H	3.93e+08	3.94e+08	12
chr2H	3.94e+08	3.95e+08	14
chr2H	3.95e+08	3.96e+08	4
chr2H	3.96e+08	3.97e+08	10
chr2H	3.97e+08	3.98e+08	30
chr2H	3.98e+08	3.99e+08	11
chr2H	3.99e+08	4e+08	42
chr2H	4e+08	4.01e+08	18
chr2H	4.01e+08	4.02e+08	9
chr2H	4.02e+08	4.03e+08	1
chr2H	4.03e+08	4.04e+08	36
chr2H	4.04e+08	4.05e+08	16
chr2H	4.05e+08	4.06e+08	25
chr2H	4.06e+08	4.07e+08	14
chr2H	4.07e+08	4.08e+08	8
chr2H	4.08e+08	4.09e+08	18
chr2H	4.09e+08	4.1e+08	39
chr2H	4.1e+08	4.11e+08	5
chr2H	4.11e+08	4.12e+08	7
chr2H	4.12e+08	4.13e+08	5
chr2H	4.13e+08	4.14e+08	12
chr2H	4.14e+08	4.15e+08	14
chr2H	4.15e+08	4.16e+08	8
chr2H	4.16e+08	4.17e+08	20
chr2H	4.17e+08	4.18e+08	15
chr2H	4.18e+08	4.19e+08	15
chr2H	4.19e+08	4.2e+08	17
chr2H	4.2e+08	4.21e+08	41
chr2H	4.21e+08	4.22e+08	3
chr2H	4.22e+08	4.23e+08	13
chr2H	4.23e+08	4.24e+08	25
chr2H	4.24e+08	4.25e+08	18
chr2H	4.25e+08	4.26e+08	93
chr2H	4.26e+08	4.27e+08	19
chr2H	4.27e+08	4.28e+08	26
chr2H	4.28e+08	4.29e+08	14
chr2H	4.29e+08	4.3e+08	11
chr2H	4.3e+08	4.31e+08	11
chr2H	4.31e+08	4.32e+08	34
chr2H	4.32e+08	4.33e+08	25
chr2H	4.33e+08	4.34e+08	30
chr2H	4.34e+08	4.35e+08	16
chr2H	4.35e+08	4.36e+08	18
chr2H	4.36e+08	4.37e+08	10
chr2H	4.37e+08	4.38e+08	19
chr2H	4.38e+08	4.39e+08	23
chr2H	4.39e+08	4.4e+08	17
chr2H	4.4e+08	4.41e+08	18
chr2H	4.41e+08	4.42e+08	3
chr2H	4.42e+08	4.43e+08	12
chr2H	4.43e+08	4.44e+08	15
chr2H	4.44e+08	4.45e+08	19
chr2H	4.45e+08	4.46e+08	16
chr2H	4.46e+08	4.47e+08	10
chr2H	4.47e+08	4.48e+08	28
chr2H	4.48e+08	4.49e+08	6
chr2H	4.49e+08	4.5e+08	15
chr2H	4.5e+08	4.51e+08	16
chr2H	4.51e+08	4.52e+08	15
chr2H	4.52e+08	4.53e+08	14
chr2H	4.53e+08	4.54e+08	17
chr2H	4.54e+08	4.55e+08	12
chr2H	4.55e+08	4.56e+08	12
chr2H	4.56e+08	4.57e+08	24
chr2H	4.57e+08	4.58e+08	5
chr2H	4.58e+08	4.59e+08	17
chr2H	4.59e+08	4.6e+08	27
chr2H	4.6e+08	4.61e+08	14
chr2H	4.61e+08	4.62e+08	13
chr2H	4.62e+08	4.63e+08	17
chr2H	4.63e+08	4.64e+08	8
chr2H	4.64e+08	4.65e+08	33
chr2H	4.65e+08	4.66e+08	18
chr2H	4.66e+08	4.67e+08	18
chr2H	4.67e+08	4.68e+08	15
chr2H	4.68e+08	4.69e+08	0
chr2H	4.69e+08	4.7e+08	25
chr2H	4.7e+08	4.71e+08	22
chr2H	4.71e+08	4.72e+08	29
chr2H	4.72e+08	4.73e+08	19
chr2H	4.73e+08	4.74e+08	17
chr2H	4.74e+08	4.75e+08	18
chr2H	4.75e+08	4.76e+08	31
chr2H	4.76e+08	4.77e+08	15
chr2H	4.77e+08	4.78e+08	8
chr2H	4.78e+08	4.79e+08	14
chr2H	4.79e+08	4.8e+08	24
chr2H	4.8e+08	4.81e+08	16
chr2H	4.81e+08	4.82e+08	8
chr2H	4.82e+08	4.83e+08	25
chr2H	4.83e+08	4.84e+08	21
chr2H	4.84e+08	4.85e+08	17
chr2H	4.85e+08	4.86e+08	45
chr2H	4.86e+08	4.87e+08	19
chr2H	4.87e+08	4.88e+08	38
chr2H	4.88e+08	4.89e+08	21
chr2H	4.89e+08	4.9e+08	13
chr2H	4.9e+08	4.91e+08	12
chr2H	4.91e+08	4.92e+08	20
chr2H	4.92e+08	4.93e+08	21
chr2H	4.93e+08	4.94e+08	38
chr2H	4.94e+08	4.95e+08	32
chr2H	4.95e+08	4.96e+08	6
chr2H	4.96e+08	4.97e+08	25
chr2H	4.97e+08	4.98e+08	27
chr2H	4.98e+08	4.99e+08	16
chr2H	4.99e+08	5e+08	13
chr2H	5e+08	5.01e+08	19
chr2H	5.01e+08	5.02e+08	21
chr2H	5.02e+08	5.03e+08	11
chr2H	5.03e+08	5.04e+08	15
chr2H	5.04e+08	5.05e+08	7
chr2H	5.05e+08	5.06e+08	23
chr2H	5.06e+08	5.07e+08	7
chr2H	5.07e+08	5.08e+08	24
chr2H	5.08e+08	5.09e+08	10
chr2H	5.09e+08	5.1e+08	17
chr2H	5.1e+08	5.11e+08	23
chr2H	5.11e+08	5.12e+08	19
chr2H	5.12e+08	5.13e+08	10
chr2H	5.13e+08	5.14e+08	25
chr2H	5.14e+08	5.15e+08	5
chr2H	5.15e+08	5.16e+08	27
chr2H	5.16e+08	5.17e+08	24
chr2H	5.17e+08	5.18e+08	12
chr2H	5.18e+08	5.19e+08	12
chr2H	5.19e+08	5.2e+08	13
chr2H	5.2e+08	5.21e+08	35
chr2H	5.21e+08	5.22e+08	26
chr2H	5.22e+08	5.23e+08	8
chr2H	5.23e+08	5.24e+08	13
chr2H	5.24e+08	5.25e+08	10
chr2H	5.25e+08	5.26e+08	56
chr2H	5.26e+08	5.27e+08	20
chr2H	5.27e+08	5.28e+08	22
chr2H	5.28e+08	5.29e+08	14
chr2H	5.29e+08	5.3e+08	15
chr2H	5.3e+08	5.31e+08	17
chr2H	5.31e+08	5.32e+08	15
chr2H	5.32e+08	5.33e+08	18
chr2H	5.33e+08	5.34e+08	12
chr2H	5.34e+08	5.35e+08	13
chr2H	5.35e+08	5.36e+08	23
chr2H	5.36e+08	5.37e+08	40
chr2H	5.37e+08	5.38e+08	18
chr2H	5.38e+08	5.39e+08	45
chr2H	5.39e+08	5.4e+08	18
chr2H	5.4e+08	5.41e+08	24
chr2H	5.41e+08	5.42e+08	20
chr2H	5.42e+08	5.43e+08	27
chr2H	5.43e+08	5.44e+08	15
chr2H	5.44e+08	5.45e+08	42
chr2H	5.45e+08	5.46e+08	26
chr2H	5.46e+08	5.47e+08	33
chr2H	5.47e+08	5.48e+08	37
chr2H	5.48e+08	5.49e+08	10
chr2H	5.49e+08	5.5e+08	32
chr2H	5.5e+08	5.51e+08	13
chr2H	5.51e+08	5.52e+08	14
chr2H	5.52e+08	5.53e+08	3
chr2H	5.53e+08	5.54e+08	23
chr2H	5.54e+08	5.55e+08	19
chr2H	5.55e+08	5.56e+08	9
chr2H	5.56e+08	5.57e+08	28
chr2H	5.57e+08	5.58e+08	18
chr2H	5.58e+08	5.59e+08	17
chr2H	5.59e+08	5.6e+08	39
chr2H	5.6e+08	5.61e+08	16
chr2H	5.61e+08	5.62e+08	16
chr2H	5.62e+08	5.63e+08	22
chr2H	5.63e+08	5.64e+08	6
chr2H	5.64e+08	5.65e+08	10
chr2H	5.65e+08	5.66e+08	12
chr2H	5.66e+08	5.67e+08	18
chr2H	5.67e+08	5.68e+08	36
chr2H	5.68e+08	5.69e+08	18
chr2H	5.69e+08	5.7e+08	21
chr2H	5.7e+08	5.71e+08	33
chr2H	5.71e+08	5.72e+08	24
chr2H	5.72e+08	5.73e+08	22
chr2H	5.73e+08	5.74e+08	26
chr2H	5.74e+08	5.75e+08	32
chr2H	5.75e+08	5.76e+08	22
chr2H	5.76e+08	5.77e+08	33
chr2H	5.77e+08	5.78e+08	29
chr2H	5.78e+08	5.79e+08	11
chr2H	5.79e+08	5.8e+08	19
chr2H	5.8e+08	5.81e+08	8
chr2H	5.81e+08	5.82e+08	24
chr2H	5.82e+08	5.83e+08	24
chr2H	5.83e+08	5.84e+08	27
chr2H	5.84e+08	5.85e+08	19
chr2H	5.85e+08	5.86e+08	35
chr2H	5.86e+08	5.87e+08	33
chr2H	5.87e+08	5.88e+08	20
chr2H	5.88e+08	5.89e+08	24
chr2H	5.89e+08	5.9e+08	37
chr2H	5.9e+08	5.91e+08	22
chr2H	5.91e+08	5.92e+08	19
chr2H	5.92e+08	5.93e+08	20
chr2H	5.93e+08	5.94e+08	14
chr2H	5.94e+08	5.95e+08	15
chr2H	5.95e+08	5.96e+08	14
chr2H	5.96e+08	5.97e+08	19
chr2H	5.97e+08	5.98e+08	36
chr2H	5.98e+08	5.99e+08	29
chr2H	5.99e+08	6e+08	7
chr2H	6e+08	6.01e+08	9
chr2H	6.01e+08	6.02e+08	25
chr2H	6.02e+08	6.03e+08	14
chr2H	6.03e+08	6.04e+08	30
chr2H	6.04e+08	6.05e+08	19
chr2H	6.05e+08	6.06e+08	41
chr2H	6.06e+08	6.07e+08	38
chr2H	6.07e+08	6.08e+08	37
chr2H	6.08e+08	6.09e+08	28
chr2H	6.09e+08	6.1e+08	30
chr2H	6.1e+08	6.11e+08	53
chr2H	6.11e+08	6.12e+08	41
chr2H	6.12e+08	6.13e+08	38
chr2H	6.13e+08	6.14e+08	22
chr2H	6.14e+08	6.15e+08	45
chr2H	6.15e+08	6.16e+08	18
chr2H	6.16e+08	6.17e+08	16
chr2H	6.17e+08	6.18e+08	28
chr2H	6.18e+08	6.19e+08	31
chr2H	6.19e+08	6.2e+08	28
chr2H	6.2e+08	6.21e+08	65
chr2H	6.21e+08	6.22e+08	32
chr2H	6.22e+08	6.23e+08	25
chr2H	6.23e+08	6.24e+08	46
chr2H	6.24e+08	6.25e+08	40
chr2H	6.25e+08	6.26e+08	41
chr2H	6.26e+08	6.27e+08	52
chr2H	6.27e+08	6.28e+08	37
chr2H	6.28e+08	6.29e+08	18
chr2H	6.29e+08	6.3e+08	37
chr2H	6.3e+08	6.31e+08	26
chr2H	6.31e+08	6.32e+08	54
chr2H	6.32e+08	6.33e+08	68
chr2H	6.33e+08	6.34e+08	40
chr2H	6.34e+08	6.35e+08	51
chr2H	6.35e+08	6.36e+08	50
chr2H	6.36e+08	6.37e+08	23
chr2H	6.37e+08	6.38e+08	14
chr2H	6.38e+08	6.39e+08	29
chr2H	6.39e+08	6.4e+08	22
chr2H	6.4e+08	6.41e+08	73
chr2H	6.41e+08	6.42e+08	23
chr2H	6.42e+08	6.43e+08	26
chr2H	6.43e+08	6.44e+08	36
chr2H	6.44e+08	6.45e+08	22
chr2H	6.45e+08	6.46e+08	62
chr2H	6.46e+08	6.47e+08	42
chr2H	6.47e+08	6.48e+08	73
chr2H	6.48e+08	6.49e+08	37
chr2H	6.49e+08	6.5e+08	50
chr2H	6.5e+08	6.51e+08	24
chr2H	6.51e+08	6.52e+08	33
chr2H	6.52e+08	6.53e+08	31
chr2H	6.53e+08	6.54e+08	34
chr2H	6.54e+08	6.55e+08	28
chr2H	6.55e+08	6.56e+08	46
chr2H	6.56e+08	6.57e+08	31
chr2H	6.57e+08	6.58e+08	45
chr2H	6.58e+08	6.59e+08	40
chr2H	6.59e+08	6.6e+08	30
chr2H	6.6e+08	6.61e+08	14
chr2H	6.61e+08	6.62e+08	13
chr2H	6.62e+08	6.63e+08	9
chr2H	6.63e+08	6.64e+08	24
chr2H	6.64e+08	6.65e+08	50
chr2H	6.65e+08	6.66e+08	20
chr2H	6.66e+08	6.67e+08	26
chr2H	6.67e+08	6.68e+08	39
chr2H	6.68e+08	6.69e+08	20
chr2H	6.69e+08	6.7e+08	52
chr2H	6.7e+08	6.71e+08	66
chr2H	6.71e+08	6.72e+08	14
chr2H	6.72e+08	6.73e+08	54
chr2H	6.73e+08	6.74e+08	46
chr2H	6.74e+08	6.75e+08	33
chr2H	6.75e+08	6.76e+08	25
chr2H	6.76e+08	6.77e+08	29
chr2H	6.77e+08	6.78e+08	57
chr2H	6.78e+08	6.79e+08	35
chr2H	6.79e+08	6.8e+08	35
chr2H	6.8e+08	6.81e+08	38
chr2H	6.81e+08	6.82e+08	58
chr2H	6.82e+08	6.83e+08	66
chr2H	6.83e+08	6.84e+08	11
chr2H	6.84e+08	6.85e+08	54
chr2H	6.85e+08	6.86e+08	43
chr2H	6.86e+08	6.87e+08	25
chr2H	6.87e+08	6.88e+08	85
chr2H	6.88e+08	6.89e+08	85
chr2H	6.89e+08	6.9e+08	47
chr2H	6.9e+08	6.91e+08	39
chr2H	6.91e+08	6.92e+08	56
chr2H	6.92e+08	6.93e+08	55
chr2H	6.93e+08	6.94e+08	84
chr2H	6.94e+08	6.95e+08	58
chr2H	6.95e+08	6.96e+08	61
chr2H	6.96e+08	6.97e+08	76
chr2H	6.97e+08	6.98e+08	35
chr2H	6.98e+08	6.99e+08	47
chr2H	6.99e+08	7e+08	49
chr2H	7e+08	7.01e+08	58
chr2H	7.01e+08	7.02e+08	39
chr2H	7.02e+08	7.03e+08	40
chr2H	7.03e+08	7.04e+08	43
chr2H	7.04e+08	7.05e+08	72
chr2H	7.05e+08	7.06e+08	29
chr2H	7.06e+08	7.07e+08	70
chr2H	7.07e+08	7.08e+08	56
chr2H	7.08e+08	7.09e+08	61
chr2H	7.09e+08	7.1e+08	61
chr2H	7.1e+08	7.11e+08	84
chr2H	7.11e+08	7.12e+08	70
chr2H	7.12e+08	7.13e+08	58
chr2H	7.13e+08	7.14e+08	81
chr2H	7.14e+08	7.15e+08	49
chr2H	7.15e+08	7.16e+08	62
chr2H	7.16e+08	7.17e+08	66
chr2H	7.17e+08	7.18e+08	41
chr2H	7.18e+08	7.19e+08	51
chr2H	7.19e+08	7.2e+08	64
chr2H	7.2e+08	7.21e+08	53
chr2H	7.21e+08	7.22e+08	74
chr2H	7.22e+08	7.23e+08	65
chr2H	7.23e+08	7.24e+08	15
chr2H	7.24e+08	7.25e+08	75
chr2H	7.25e+08	7.26e+08	53
chr2H	7.26e+08	7.27e+08	51
chr2H	7.27e+08	7.28e+08	72
chr2H	7.28e+08	7.29e+08	24
chr2H	7.29e+08	7.3e+08	62
chr2H	7.3e+08	7.31e+08	37
chr2H	7.31e+08	7.32e+08	49
chr2H	7.32e+08	7.33e+08	65
chr2H	7.33e+08	7.34e+08	61
chr2H	7.34e+08	7.35e+08	69
chr2H	7.35e+08	7.36e+08	57
chr2H	7.36e+08	7.37e+08	38
chr2H	7.37e+08	7.38e+08	58
chr2H	7.38e+08	7.39e+08	83
chr2H	7.39e+08	7.4e+08	62
chr2H	7.4e+08	7.41e+08	64
chr2H	7.41e+08	7.42e+08	53
chr2H	7.42e+08	7.43e+08	76
chr2H	7.43e+08	7.44e+08	68
chr2H	7.44e+08	7.45e+08	66
chr2H	7.45e+08	7.46e+08	48
chr2H	7.46e+08	7.47e+08	52
chr2H	7.47e+08	7.48e+08	30
chr2H	7.48e+08	7.49e+08	60
chr2H	7.49e+08	7.5e+08	33
chr2H	7.5e+08	7.51e+08	91
chr2H	7.51e+08	7.52e+08	87
chr2H	7.52e+08	7.53e+08	53
chr2H	7.53e+08	7.54e+08	108
chr2H	7.54e+08	7.55e+08	65
chr2H	7.55e+08	7.56e+08	51
chr2H	7.56e+08	7.57e+08	51
chr2H	7.57e+08	7.58e+08	59
chr2H	7.58e+08	7.59e+08	79
chr2H	7.59e+08	7.6e+08	42
chr2H	7.6e+08	7.61e+08	58
chr2H	7.61e+08	7.62e+08	76
chr2H	7.62e+08	7.63e+08	55
chr2H	7.63e+08	7.64e+08	59
chr2H	7.64e+08	7.65e+08	33
chr2H	7.65e+08	7.66e+08	57
chr2H	7.66e+08	7.67e+08	25
chr2H	7.67e+08	7.68e+08	56
chr2H	7.68e+08	768075024	3
chr3H	0	1e+06	75
chr3H	1e+06	2e+06	112
chr3H	2e+06	3e+06	71
chr3H	3e+06	4e+06	54
chr3H	4e+06	5e+06	58
chr3H	5e+06	6e+06	29
chr3H	6e+06	7e+06	47
chr3H	7e+06	8e+06	75
chr3H	8e+06	9e+06	53
chr3H	9e+06	1e+07	32
chr3H	1e+07	1.1e+07	57
chr3H	1.1e+07	1.2e+07	96
chr3H	1.2e+07	1.3e+07	42
chr3H	1.3e+07	1.4e+07	74
